"","ciprofloxacin","amoxicillin-clavulanate","metronidazole","ceftriaxone","vancomycin","cefepime","azithromycin","trimethoprim-sulfamethoxazole","penicillin","levofloxcacin","dapsone","amoxicillin","cefdinir","piperacillin-tazobactam","ceftazidime","cefuroxime","cephalexin","pentamidine","doxycycline","meropenem","daptomycin","cefazolin","aztreonam"
"vanT_in_vanC_cl",0.0882121374618881,3.28718402576045e-15,0.918824607144281,0.974417367424096,0.791149881632536,0.953126125401277,NA,0.918699097379763,0.710700072111611,0.763112005246314,0.865445830219095,NA,NA,0.424292594186407,0.0593092858448852,0.96155140553558,0.000241858953199393,NA,0.164780432575385,0.905361732226523,0.945698605612017,NA,NA
"vanS_in_vanC_cl",0.12832831081402,9.23813325653104e-05,0.918824607144281,0.995666555581822,0.106145460344421,0.564442048018875,NA,0.656651724478141,8.09545907343659e-14,0.816440088470249,0.901567776110941,NA,NA,0.758412330270114,0.140769434365479,0.977553859968906,0.0566269462203768,NA,0.0791131246233456,0.187050178688781,0.89134275658809,NA,NA
"mel",0.864401012874708,0.518590680345862,0.039704645261094,0.996949307872087,0.0302775652641276,0.0450403079466487,NA,0.563526131721709,0.930540561855827,0.840345295157266,0.240286050553205,NA,NA,0.175971202517245,0.01631009395459,0.939507543283765,0.537687438972849,NA,0.350220833633946,0.0655640702959611,0.238382225879463,NA,NA
"ErmB",0.916812457625916,0.837605762337419,0.468025470052276,0.777454249682625,0.987275398177857,0.621383286661162,NA,0.970161651289428,0.866150617567889,0.733088085351558,0.591682831034372,NA,NA,0.444036681225572,3.17673836704981e-17,0.0452931478445345,0.37548415550783,NA,0.0269506358769635,0.993385081374305,0.99261787436941,NA,NA
"Mef(En2)",0.617009346079807,7.85473619943246e-05,0.000352774138993804,0.864486417062077,0.88270374353385,0.198569209587306,NA,0.718838117406937,0.905907427621495,0.417984221408781,0.424386848761826,NA,NA,0.18361493399388,2.59210453132793e-11,0.00491015790606233,4.35781764504232e-45,NA,0.293628200155671,0.906036641888267,0.89134275658809,NA,NA
"APH(3'')-Ib",0.349623025681492,0.837605762337419,0.0205441163047226,0.777454249682625,0.617339860220208,0.581846349314316,NA,0.536875994480703,0.78340707935489,0.930281403712083,0.238706504780763,NA,NA,0.893046307246247,0.980948919582862,0.52646371317385,0.790612457075965,NA,3.94917447555387e-12,0.906036641888267,0.887113472829085,NA,NA
"msrC",0.651479633018931,0.803078099049142,0.642033984553189,0.957287858067817,0.231935810272987,0.508092986348563,NA,0.927283735964126,0.689147572262795,0.957234355093416,0.845807474003165,NA,NA,0.321646053285468,1.67905639049842e-39,0.194717760805576,0.899451028069797,NA,0.14854477381606,0.905361732226523,0.445258200157406,NA,NA
"Erm(35)",0.651479633018931,0.146557583656614,3.75890509120207e-19,0.943039744090225,0.187541360375113,0.160512454412371,NA,0.885940753866879,0.580156218907668,0.763112005246314,0.592161339837714,NA,NA,0.95830787568771,5.65735980677455e-20,0.37669665754667,0.92348560401875,NA,0.884754187974181,0.95484846816533,0.594166430540625,NA,NA
"CfxA3",0.844573448559417,0.00604120504369133,2.27270903116488e-10,0.864486417062077,0.904919950427359,0.976621056193365,NA,0.841157382613435,0.277008774511199,0.533509367437498,0.653183093923653,NA,NA,0.999533467077429,5.87029011065024e-15,2.14118802529088e-14,9.41435444333545e-15,NA,0.346290214265842,2.85879449196551e-14,0.900072920180068,NA,NA
"tet(A)",0.850192398945544,0.844432343077581,0.0363241259886172,0.864486417062077,0.50322863465475,0.61093996161136,NA,0.536875994480703,0.78340707935489,0.986545218421259,0.00136938422255298,NA,NA,0.862233635076838,0.790143394001333,0.52646371317385,1.27537319810231e-21,NA,0.00592335860674926,0.965942125660164,0.869040537327056,NA,NA
