"","ciprofloxacin","amoxicillin-clavulanate","metronidazole","ceftriaxone","vancomycin","cefepime","azithromycin","trimethoprim-sulfamethoxazole","penicillin","levofloxcacin","dapsone","amoxicillin","cefdinir","piperacillin-tazobactam","ceftazidime","cefuroxime","cephalexin","pentamidine","doxycycline","meropenem","daptomycin","cefazolin","aztreonam"
"Lachnospiraceae bacterium",0.314567689612667,0.313559225506291,0.866310761181732,0.359886306965586,1.24431443841549e-10,1.8172804092388e-08,0.846305560105775,0.0125697124982632,0.501533394568716,0.0026087276734541,0.713439845963834,0.527615446100606,NA,0.00139196475463412,0.927633185293775,0.243285705682783,0.95981625282692,0.99881363774454,0.948870203151431,0.398534605277265,0.146255944642865,0.6554374583936,0.176180845637843
"Klebsiella pneumoniae",0.024449589565628,0.248238741021913,0.997145166029327,0.373693977004253,0.262871687736205,0.75732008134936,0.758931806688305,0.332214167085498,0.552719214647024,0.175976257325834,0.694770291598806,0.82043153014603,NA,0.0544298521562225,0.876422145114118,0.290009693201128,0.840915424184738,0.99881363774454,0.886536101820946,0.524274552777483,0.203382527437049,0.557831850683409,0.157058465808263
"Terrisporobacter sp. MCA3",0.452504721716682,0.876526067537077,0.610716535838173,0.737813995862038,0.00261020536524328,0.0883065810288935,0.655451382613095,0.332775238564595,0.287791605251764,0.05094030493471,0.907070923483083,0.780291017252558,NA,0.0855524913296205,0.916940172277632,0.998608120382132,0.994989720584478,0.99881363774454,0.98977823864413,0.996186890248733,0.568369150438547,0.611540773012315,0.829726001753681
"Flintibacter sp. KGMB00164",0.224626973430437,0.499730119715161,0.622860081589313,0.359886306965586,4.1288318862055e-07,2.2306442116417e-05,0.81796958599514,0.0118751578633564,0.284221907209628,0.015573259340009,0.983012220654723,0.524510213875907,NA,0.000300050657553213,0.841537079058342,0.228830713566803,0.931013726074856,0.99881363774454,0.98977823864413,0.4910172714218,0.264846243410329,0.372585997428082,0.0522359916616549
"Bacteroides xylanisolvens",0.537289292115439,0.308704048754487,2.85732225364982e-06,0.00126168275921912,0.129335775645621,0.950758383157862,0.452895110178932,0.00996139139647907,0.50956200990604,0.0429948656772105,0.512592687910572,5.35303758816716e-05,NA,8.13892932952756e-05,0.893973974986878,0.000317545929466162,0.709649462125443,0.99881363774454,0.958787185243793,0.234797684225757,0.19862022672761,0.332308389229117,0.138839511775845
"Dysosmobacter welbionis",0.102913804284286,0.785095996726579,0.136956838439555,0.605847766742867,5.20703374222944e-07,0.000768067514655662,0.998278354082938,0.00184254983721312,0.530824115914541,0.00729006142567932,0.980327599289161,0.24048242805986,NA,6.72823404300187e-06,0.893973974986878,0.248168867199799,0.786736401568538,0.99881363774454,0.886536101820946,0.615804960827999,0.255911570923839,0.405274237469075,6.40193414293313e-06
"Streptococcus dysgalactiae",0.301682790158223,0.322198374927812,0.893588210274632,0.479480037877471,0.0119104712906877,0.0313507131247174,0.983927445908308,0.666739713796574,0.533715675345177,0.769467868842283,0.880780033104995,0.600785719586591,NA,0.426345187541735,0.973801070386799,0.916275821682224,0.68358529058737,0.99881363774454,0.948870203151431,0.193082920595525,0.201460403669142,0.475344564102424,0.0615595485527612
"Actinomyces sp. HMT 175",0.158217716227786,0.263693413706937,0.984789931162199,0.409984221864245,0.0133273033111794,0.00459444662580003,0.93055940516029,0.823236273384835,0.530824115914541,0.469411242608876,0.94469198321127,0.858573313445734,NA,0.997361834336954,0.689661587053575,0.493554935694584,0.681283369480009,0.260478006846783,0.886536101820946,0.321429315474686,0.165582159779065,0.466596597504207,0.760376553580023
"Limosilactobacillus fermentum",0.449627580410232,0.248238741021913,0.256310474940819,0.858584957373794,0.634266676816829,0.829035553786423,0.24512991068224,0.755371386597208,0.111280703626233,0.132295764682937,0.843689028475788,0.987056985869623,NA,0.730461941564731,0.257148692972105,0.412425604172184,0.918827981692525,0.99881363774454,0.303722859955297,0.129639565930806,0.346828568087898,0.43992256779132,0.73518427550943
"Clostridium neonatale",0.920035085715566,0.308704048754487,0.945934315601458,0.651018561056433,2.5870630531961e-05,0.0200218877292386,0.768457733375974,0.582436264034729,0.987187013380821,0.0260990717464089,0.983012220654723,0.812191838733512,NA,0.0916595146947256,0.893973974986878,0.478370740042715,0.582187771303484,0.99881363774454,0.766541296289249,0.615804960827999,0.529071040362782,0.638467326271209,0.487492808449133
