"","ciprofloxacin","amoxicillin-clavulanate","metronidazole","ceftriaxone","vancomycin","cefepime","azithromycin","trimethoprim-sulfamethoxazole","penicillin","levofloxcacin","dapsone","amoxicillin","cefdinir","piperacillin-tazobactam","ceftazidime","cefuroxime","cephalexin","doxycycline","meropenem","daptomycin","cefazolin","aztreonam"
"tetW",0.0215460881542815,0.241456973840619,0.0496737698393042,0.107064669103171,1.9331471622215e-05,0.000224175538678712,0.378269768166899,0.0986365462124386,0.147539940114118,0.221165036553369,0.565743245126426,0.31129106053777,NA,0.00107774012975431,0.0122434472348096,0.331486895455576,0.176404981352541,0.478164633062171,0.790215540300177,0.00770589076900816,0.0892381062020071,NA
"Kpne_acrA",0.00366532347710336,0.238690095797908,0.0332898872489317,0.568558325112261,0.343771430968002,0.390507737345734,1.62765491486473e-17,0.141893554177043,0.40980558583011,0.931064993533223,0.37604601791909,0.618173863685599,NA,0.749023653653833,1.62765491486478e-17,0.140402506096204,0.80986477561259,0.906321353683121,0.469677755652017,0.733777407709094,1.68321224312367e-17,NA
"OCH-1",0.274836041501143,2.53648477191927e-18,0.726332925484702,0.379215020418422,0.156255635998927,0.0406851578491214,8.51590998852623e-05,0.0848278323278797,0.500089223748827,0.211576596261874,0.000209841650118835,3.3157407140153e-18,NA,0.415437708934167,0.321209268808851,0.604160446167366,0.379337583708203,0.158565765611299,0.342181093661896,0.22304162890663,3.31574071401525e-18,NA
"qacJ",0.809889023411607,0.316259837199787,0.505605606986241,0.996073751512094,0.0554891162206693,0.0279511973045903,0.150981820257864,0.129155767640611,0.166783068328269,0.0697196825938957,0.0367846040087496,0.1606007316503,NA,0.140434040717732,0.0150365749815286,0.00304938191275903,0.682167607899519,0.0294825265622094,0.623789209825221,0.039121209884671,0.759344898991632,NA
"OKP-B-12",0.821704784592914,0.652487922934099,0.976594941511199,0.0953382022890481,0.564340517422459,0.843279733910002,0.0777111515699056,0.0951477992937491,0.500988795420216,0.109732436251641,0.447200107080914,0.867216361441183,NA,0.72393107233852,4.50626674217427e-15,0.13471347076277,0.77328439383055,1.87446237150413e-12,0.999046698295771,0.844663967868161,4.6134993980077e-15,NA
"SHV-12",0.255243045878126,0.00155183503743517,0.0324796250456234,0.447662392646471,0.890650814217838,0.910727623627573,0.99009281727284,0.978217369669903,0.819239263965038,0.88095462659735,0.351635757037321,0.707466788349695,NA,0.405858779326461,0.206834261830186,0.654391257768041,0.870229966385223,0.260885005018589,0.915068202115061,0.33300239003087,7.60598331684525e-15,NA
"ykkC",0.0581139068345063,0.691785365714368,0.224227841354929,0.08875084981692,0.821203574012908,0.66493444192679,0.413789571936857,0.857533250293291,0.451352307512113,0.0729552965257663,0.923563062779252,0.411309774177466,NA,0.858256266698183,0.186403427526833,0.0334179708146536,0.0314623246170458,0.218917317966405,0.453142916913735,0.050519530631319,0.225073293114124,NA
"ykkD",0.0815372437492892,0.436622870921615,0.883301285857905,0.50273290069442,0.2262995777765,0.190298640594233,0.185778395142824,0.560047355937915,0.384929416680548,0.0755113383076212,0.412878541034863,0.287896742495597,NA,0.472389461054378,0.0932552659745138,0.304757137896225,0.586205482099807,0.0412433206673185,0.268589773005927,0.0833210328263562,2.88147208745656e-05,NA
"tet(40)",0.000100971980927472,0.419406242793332,0.0765673537826046,0.810700923521481,2.37665198546328e-14,8.1935063456185e-11,0.4700579892869,0.000311720258585667,0.899452209172773,0.0515298157935401,0.419591967840828,6.34167053959697e-07,NA,0.000220902496512917,0.000332586888849222,0.592836854355719,0.290114451479232,0.933558833439432,0.804790188174842,0.00445415685702139,0.0192894270971861,NA
"rmtB",0.660316567495946,0.817060565207635,0.0544981450651351,0.43767356777295,0.000157030231083642,1.25372219601943e-05,1.89363177354479e-17,0.9822548040528,0.427362981600454,0.280790624611599,0.38245921971024,1.95768690060395e-17,NA,3.14661034729487e-06,0.107974044328313,1.7695501055721e-17,0.315266664762825,0.92545235926263,0.172388855886341,0.00168201656425703,1.95768690060395e-17,NA
"rpoB2",0.157869475946332,0.285764927643662,0.311818232673002,0.339052337276462,7.88606406407109e-05,3.3380769569091e-05,0.19445414276094,0.998200950854687,0.741513862730688,0.0721527548962931,0.601597406288219,0.286118324137578,NA,0.0553307745821301,0.00126305597000536,0.935093021761315,0.203235151540463,0.00144394857497719,0.0779159517786489,0.020350925279753,0.147011408297143,NA
"Kpne_KpnE",0.807248230357264,0.284117986756287,0.76547267001018,0.934413074666524,0.625146327394237,0.320395610019685,0.167198936775638,0.391065916791865,0.563524427660525,0.491956107090773,0.494888200971418,0.492721894326391,NA,0.862060835001087,0.0137765148815287,0.561721905137778,0.904979373199878,0.0579317868745411,0.956512590290796,0.389536010095796,0.193246949964335,NA
"Kpne_KpnF",0.379088285009933,0.70403833593496,0.68669859181888,0.149975500202076,0.290094518445929,0.290615824099127,0.000466055797209028,0.587543327165625,0.563346187393361,0.250257847933263,0.665265895088224,0.259037142221041,NA,0.563609953772669,0.055118234445455,0.105764990118505,0.634991005110089,0.222296141935451,0.338608551520063,0.204442290959108,0.600956878924985,NA
"marA",3.79887544265354e-06,0.174947870602743,0.076968288444831,0.990341433664516,0.0718159913440299,0.0356918405040991,0.165398078925223,0.0857364777873414,0.411072009089733,0.582110629273283,0.483775518399856,0.815480466162658,NA,0.277880435488131,0.000297174551005512,0.0146976188694951,0.176544982550974,5.65971958255252e-15,0.653445603301747,0.493060486645716,3.67693393797017e-24,NA
"baeS",2.42182249229512e-05,0.116928475518194,0.32989520981336,0.745991126540881,0.0140410750703098,0.00567370731083175,0.372471804677492,0.102434864003716,0.257219697143987,0.603449335542941,0.9197405144503,0.903181773762692,NA,0.721399248209709,1.05684062119755e-05,0.0178388081345729,0.266541729454329,0.00289677076665806,0.803862341250096,0.298003962057372,2.94638573717542e-13,NA
