"","Ciprofloxacin","Augmentin","Metronidazole","Ceftriaxone","Vancomycin","Cefepime","Azithromycin","Trimethoprim-Sulfamethoxazole","Penicillin","Levofloxacin","trimethoprim-sulfamethoxazole","Dapsone","Amoxicillin","Trimethoprim-sulfamethoxazole","Cefdinir","Metronidzole","Piperacillin-tazobactam","Trimethprim-sulfamethoxazole","Ceftazidime","TMP-SMX","Cefuroxime","Cephalexin","Pentamidine","Pencillin","Doxycycline","Meropenem","Daptomycin","Sulfamethoxazole","Cefazolin","Aztreonam"
"Proteus penneri",0.000260661061264195,4.03285174331076e-16,3.70826133874689e-16,0.414558455584986,4.9409428760563e-07,1.99116708171193e-05,0.667711924038116,4.03285174331076e-16,4.03285174331076e-16,0.0785021459169919,NA,0.111702264906983,4.03285174331076e-16,NA,NA,NA,0.407150856472905,NA,3.92293114086655e-16,0.316647719303684,0.268849110179596,4.03285174331076e-16,NA,NA,0.344109031731934,0.941574692477212,0.943627691072105,0.76689697179679,NA,NA
"Microbulbifer elongatus",0.319386602305612,3.38573486055753e-19,2.98231936481059e-19,0.0058142169601884,0.00782385836915948,0.000389015828275472,0.933240825429752,0.863351264764488,5.68669260692003e-09,0.573515768798568,NA,0.678293158733132,3.38573486055753e-19,NA,NA,NA,0.449358758699015,NA,0.734858841741033,0.89006696219922,2.98231936481059e-19,3.38573486055753e-19,NA,NA,0.106990796357787,0.796252604403974,0.360463152382358,0.686040194683908,NA,NA
"Salinibacterium sp. dk2585",0.952229580485499,0.655626807756009,2.92598157099652e-18,0.360849432434944,0.0072566183232103,0.00132879623108272,0.70742152442147,3.27279875045232e-18,3.27279875045232e-18,0.832255432449597,NA,0.487595230143716,3.27279875045232e-18,NA,NA,NA,0.526979780588311,NA,3.15430985128743e-18,0.334494836182928,2.92598157099652e-18,0.788586260713338,NA,NA,0.831845555962643,3.03871317620357e-18,2.30815650681272e-18,0.54426622144676,NA,NA
"Streptomyces sp. WAC 01529",0.0394353190640673,1.85952937820549e-20,1.60463929961655e-20,0.142436184730564,3.81933843730787e-06,0.000192748509008059,0.88075931836428,1.85952937820549e-20,0.834231792422231,0.66503568694998,NA,0.363197906805476,0.800638657267366,NA,NA,NA,0.0345157305067982,NA,0.986557847920172,0.397687002275884,1.60463929961655e-20,1.85952937820553e-20,NA,NA,0.283007079219716,1.68653369014746e-20,1.17361521894069e-20,0.393462145818863,NA,NA
"Stygiolobus sp. KN-1",0.0747941891735559,6.09407766470158e-14,5.74288595790384e-14,0.167909096433443,4.32810822656153e-05,0.00377175049358024,6.09407766470158e-14,6.09407766470158e-14,6.09407766470158e-14,0.259837476790861,NA,0.184433843825813,6.09407766470158e-14,NA,NA,NA,0.0251016147111344,NA,5.97606187870629e-14,0.706188918394849,0.996250762767367,6.09407766470158e-14,NA,NA,0.299810291608683,0.813608279089174,0.425417286593911,0.80922739295388,NA,NA
"Candidatus Absconditicoccus praedator",0.496634949391521,8.1447443499572e-31,0.0393720872921196,6.5082089352214e-05,1.03649829571745e-05,3.5950630731799e-05,0.907304714389099,0.128283540475295,8.16228999120169e-16,0.290868648601906,NA,0.00807284339513075,8.1447443499572e-31,NA,NA,NA,0.00154283378056026,NA,7.16715409081601e-31,0.274904044974612,0.729590001456492,8.1447443499572e-31,NA,NA,0.00702232859574358,0.41156978387401,0.0118700257705066,0.371939565663735,NA,NA
"Gardnerella vaginalis",0.304866363521243,0.590749940891149,0.174656334520199,0.886433530353151,0.000137037261373667,7.00959302297727e-08,0.417343955608849,0.034282545493667,0.156141083451491,0.755023712731982,NA,0.690188072121791,0.738147551889736,NA,NA,NA,0.699377389386922,NA,0.502754673168658,0.302823723980734,0.16350482189082,0.309875615384007,NA,NA,0.433151044085193,0.160409626207702,0.00739156839111284,0.176436021773285,NA,NA
"Candidatus Nitrosotalea okcheonensis",0.0249005821961071,0.68216581212062,0.490194124822308,0.952063753776891,0.0118709782104053,0.000982056099163133,0.837270223040928,0.71542884844922,9.19200760879845e-16,0.460111687508395,NA,0.118013064413237,0.830760728557409,NA,NA,NA,0.994052895117293,NA,0.910771726816487,0.954598298081142,0.900404473772534,9.19200760879845e-16,NA,NA,0.701772215899342,8.71998014594925e-16,0.00651698862427487,0.524821686477332,NA,NA
"Sulfuricaulis limicola",0.631144193292062,7.43234046490588e-21,6.36968424907696e-21,0.372853210621209,0.00291453497970059,0.0235274947312851,7.43234046490588e-21,7.43234046490588e-21,7.43234046490588e-21,0.2718519020975,NA,0.563107593053521,0.860492494034819,NA,NA,NA,0.00191135893465991,NA,0.864819239821721,0.120799640636907,0.258271876430142,0.958810671958339,NA,NA,0.0430305767157168,0.560481124711079,0.0881160653599241,0.995173203975154,NA,NA
"Azospirillum ramasamyi",0.975101500032304,6.88712034530383e-23,5.68287011976599e-23,0.00396746686521155,0.000215369859892588,0.00653621486270366,0.835551705376383,0.0591107878900852,0.0923756967384839,0.757484265887915,NA,0.499820013591603,6.88712034530383e-23,NA,NA,NA,0.0233305765792398,NA,6.46525230785064e-23,0.619188831571793,5.68287011976624e-23,0.890158739274097,NA,NA,0.214190504280122,0.782731855135616,0.184807530225664,0.928425904638287,NA,NA
