"","ciprofloxacin","amoxicillin-clavulanate","metronidazole","ceftriaxone","vancomycin","cefepime","azithromycin","trimethoprim-sulfamethoxazole","penicillin","levofloxcacin","dapsone","amoxicillin","cefdinir","piperacillin-tazobactam","ceftazidime","cefuroxime","cephalexin","doxycycline","meropenem","daptomycin","cefazolin","aztreonam"
"dfrF",0.497509858902667,0.593671274659136,0.0488791951704244,0.959688309495368,0.0068735944416052,0.135705093354156,0.0440242545170182,0.874068781780707,0.920786986667783,0.792763606057256,0.209911198630377,0.000137013475370605,NA,0.086511856831637,0.986036213510129,0.647706980378598,0.450175699519999,0.0931802099533517,0.954688856906441,0.949548490978695,0.0863476279946322,0.941470368762594
"rsmA",0.721523106362281,0.918643461907869,0.976669666498155,0.895445215941791,0.562994745737516,0.376952013964749,0.237336084852404,0.601584208368801,0.9789208433658,0.401921871818122,0.723235384066077,0.188377426348297,NA,0.527138638373508,0.134424870603963,0.378013433303718,0.657951131724632,0.124768852706408,0.965439039626558,0.182990562024718,0.633433861750863,0.655818545995338
"CfxA2",0.853878885500388,0.326691884103164,0.000318284599742481,0.932908229803444,0.0672394771479316,0.279890071820022,0.948784953906273,0.696943793201156,2.27614493945225e-20,0.295809809968523,0.983310489579999,0.922276868950303,NA,0.00988305444021692,0.094610525110638,0.0019466779869533,0.846143106571686,0.789732882720284,0.566488294972904,0.0678527482306138,0.160345276550001,0.049767234099131
"aadA5",0.0428619695429721,0.214972671001614,0.724625501655115,0.932908229803444,0.12681220785051,0.566261415103766,2.1972291023749e-06,0.0682325471103495,0.8319640509811,0.250703198881127,0.176302185436553,4.66701699105236e-08,NA,0.110616033890675,0.970016126084182,1.41542532830771e-07,1.52827329556716e-07,0.0603076756387854,3.35980013480335e-05,0.444555465387168,0.78301581664022,3.85703883558049e-08
"vanT_in_vanC_cl",0.783768143953467,0.790181443794929,0.902160530573483,0.769789527984688,0.244307323827113,0.284446111733646,0.54978497854889,0.954935517255805,0.710700072111611,0.574744451794974,0.669643233799486,3.06360601279158e-15,NA,0.973716516788381,0.0112109409508994,0.982390687650473,0.73355763458363,0.963507545843133,0.819857176606342,0.246250658438235,0.852488367416944,1.96070784818658e-15
"vanS_in_vanC_cl",0.758842157364487,0.933690781943215,0.935519089522426,0.790490269279812,0.0169442732659389,0.0871274665769478,0.646714203622228,0.542216300828302,8.09545907343659e-14,0.192034123521656,0.937716721699196,2.40080120143358e-14,NA,0.938740065365972,0.11596533208113,0.795770767796165,0.415181895760908,0.678721580268249,0.988643759331024,0.225998815007023,1.2413819136045e-13,0.98198612869004
"mel",0.289277503066106,0.214972671001614,0.662275174892524,0.932908229803444,7.22957959663194e-06,0.00570393652706814,0.926711059000702,0.669380203014148,0.930540561855827,0.1985428850747,0.251345325471749,0.918636019716809,NA,0.00104267873394352,0.00214634921909155,0.901050302516447,0.732090252314371,0.33838801617639,0.548897043867084,0.00457284560861664,0.747550400281049,0.204790858850033
"ErmB",0.28327001772562,0.903413689006557,0.491572737030149,0.769789527984688,0.190250784184146,0.372767575760537,0.0209034319505738,0.789083084883294,0.866150617567889,0.679897726968002,0.485808056549231,0.884681529487283,NA,0.158373980643367,0.130828390172556,0.0136487948608539,0.728743357660189,8.39324095383921e-05,0.913986031524553,0.768606833179228,6.4922714296765e-08,0.441603060096962
"Mef(En2)",0.676193579566672,0.569867666474793,0.00533980661828582,0.769789527984688,0.271147223897579,0.88880970885563,0.55113966273547,0.172210586313928,0.905907427621495,0.250703198881127,0.521617420151963,0.337766957051119,NA,0.000687147095104126,0.0714208771213534,0.00896726928740143,0.994552751503167,0.146328318125033,0.913986031524553,0.390353740657676,0.549941450868302,0.295028296699152
"APH(3'')-Ib",0.0283558142625254,0.264236248141019,0.249509277486298,0.769789527984688,0.944358443706163,0.575928707780519,0.58421174910598,0.696943793201156,0.78340707935489,0.4283359056092,0.596382136414745,0.935780430221211,NA,0.235743074497808,0.74767072692944,0.924681154463158,0.777335093474722,3.90458643004902e-07,0.768167330995782,0.373309208989669,5.66768029742125e-15,2.68577097415256e-16
