"","ciprofloxacin","amoxicillin-clavulanate","metronidazole","ceftriaxone","vancomycin","cefepime","azithromycin","trimethoprim-sulfamethoxazole","penicillin","levofloxcacin","dapsone","amoxicillin","cefdinir","piperacillin-tazobactam","ceftazidime","cefuroxime","cephalexin","pentamidine","doxycycline","meropenem","daptomycin","cefazolin","aztreonam"
"Enterococcus lactis",0.522878692044568,0.00402818083020155,0.00841217751399635,0.178186314348895,0.000141663495934997,1.09622808607916e-06,0.314228936584746,0.191877222211537,0.403935909243047,0.298642236851084,0.962506589094617,0.792243569879695,NA,0.0187534246164262,0.110934327237813,0.455965196535538,0.499864320392258,0.469489463794983,0.0641263683223933,0.216419273834878,0.00298925687498604,0.399853582354206,0.450068796134873
"Pseudomonas aeruginosa",0.793450587535967,0.850461420690059,0.00175884804695942,0.0857075540598609,0.0148305400366657,0.077621192563444,0.0495904532603995,0.0115914258670235,0.125032988066032,0.979890139602041,0.990576967313609,0.00075924173630147,NA,0.00250836195761198,0.938239007186426,0.244338699412481,0.394505249669815,0.110896303451541,0.185975726631012,0.303066684936668,0.11109576014158,0.0477674355677028,7.53112279869386e-06
"uncultured Clostridia bacterium",0.0153202580142045,0.0531140796715246,0.477082027516311,0.487299506883392,2.08027501607878e-12,7.28792669987131e-11,0.707647637996997,0.0321694506963659,0.292917694139608,0.00538837098850429,0.390345845539174,7.59040998734503e-11,NA,6.70065698460177e-05,0.184918311663193,0.105265589049802,0.977645296145798,0.424321316852533,0.496555519409514,0.667141118906504,0.0100204937048684,0.368180151190418,0.460029668440045
"Terrisporobacter glycolicus",0.0355810830629436,0.846707599690138,0.681765937509217,0.610855908700787,0.00205988910213463,0.0408163016139957,0.0470885591590867,0.136976741136562,0.217740983379042,0.0416759521203208,0.102442998176266,0.395721294181765,NA,0.0315045033220647,0.37665570982015,0.67680873703364,0.867085016030048,0.847992516697546,0.906354527885782,0.37953385903646,0.742558336792978,0.839053901537155,0.637195663824418
"Bifidobacterium bifidum",0.264301619878341,0.200350890899264,0.371857258285437,0.634073067993664,3.41147238894651e-09,1.93262846020345e-06,0.374602112226596,0.307668242710303,0.215388560632873,0.0554338166237719,0.61053573748515,0.00209509652914141,NA,0.000619341803670374,0.557539580694169,0.2206800877666,0.481160276972987,0.793375812979704,0.113085818687735,0.123397184892181,0.0633021383133932,0.304820932508655,0.672191183490475
"Dysosmobacter sp. Marseille-Q4140",0.00362716860483165,0.230699823730109,0.215127100738346,0.162087200069335,1.81202303097556e-10,1.24805983897821e-07,0.913625596881063,3.7911522734118e-05,0.134759687078829,0.00523271449306253,0.707625995610541,0.0199423528229534,NA,5.68926661416515e-08,0.72000548525871,0.0191496853841702,0.83774828709908,0.470370170496724,0.644315484575637,0.394334165672954,0.0735186878465655,0.362638566248047,0.317428943920135
"Lactobacillus delbrueckii",0.161754506178499,0.133755858355995,0.144205923522066,0.841107462552203,0.44942755452783,0.210418977481878,0.0387779695517191,0.190059040677227,0.853224795355803,0.0122177890614261,0.813799467857674,0.71817490837141,NA,0.434114571798442,0.0709167286846421,0.119603009530552,0.328197390915549,0.707908086252261,0.252200922268629,0.302017834922712,0.0509447481362264,0.244183726851577,0.247015703491838
"Bacteroides nordii",0.607756864835333,0.126923633820869,1.25422123997996e-05,0.00539829603775612,0.0778749740248988,0.563874264407483,0.190832483883273,0.0619387243269464,0.0191169651918255,0.0406169966797988,0.90909668572942,0.488245865560994,NA,0.000123000970535212,0.456866064931565,7.06582579841192e-05,0.972133085453891,0.872007079498544,0.347915528566902,0.152137337221672,0.00668065779046856,0.320420695118852,0.0526069804388445
"Veillonella parvula",0.444708033066632,0.247549945311176,0.950140361065461,0.324124429277236,0.0144679153163985,0.0251046399728931,0.20305752128768,0.27508418897935,0.962043589317582,0.221749180025595,0.362053661665815,0.180187357393207,NA,0.0126269245244474,0.201667392872559,0.448512656394302,0.385033160077356,0.0813434013523502,0.112474855495211,0.673166945271345,0.0397470283695381,0.35028909042653,0.760147327206662
"Clostridium cadaveris",0.310236829873371,0.64636025149314,0.598408275151208,0.85408470857425,1.09808872678187e-05,0.000580138555158763,0.909439594580372,0.222266294565448,0.348493198294496,0.0101464982816401,0.916098039096894,0.557170116397845,NA,0.0887221770430762,0.674055332949243,0.120803290020854,0.865531459668333,0.842897007731986,0.664493867194211,0.301829547202171,0.294157888399184,0.243934145760792,0.288052493157219
"Herbinix luporum",0.0846555896404785,0.167467426651738,0.7727401088127,0.417005226068587,2.58516104486773e-10,2.22769961004601e-09,0.895955206672019,0.100311254775096,0.210763175041778,0.0138278870485121,0.489458599589242,0.115259167357829,NA,0.00742303094834592,0.305934138508817,0.242654049599543,0.553194260492675,0.685953088358628,0.17044818085631,0.829681655786396,0.00834879040883645,0.380325310419538,0.0476066321330985
