"","Ciprofloxacin","Augmentin","Metronidazole","Ceftriaxone","Vancomycin","Cefepime","Azithromycin","Trimethoprim-Sulfamethoxazole","Penicillin","Levofloxacin","trimethoprim-sulfamethoxazole","Dapsone","Amoxicillin","Trimethoprim-sulfamethoxazole","Cefdinir","Metronidzole","Piperacillin-tazobactam","Trimethprim-sulfamethoxazole","Ceftazidime","TMP-SMX","Cefuroxime","Cephalexin","Pentamidine","Pencillin","Doxycycline","Meropenem","Daptomycin","Sulfamethoxazole","Cefazolin","Aztreonam"
"Brevibacterium casei",0.705075891340249,0.90826970135688,2.22552179348934e-27,0.523571010400379,0.0998570854486409,0.109586087140505,0.99912194136074,3.91389540976322e-27,0.995568639401152,0.998028694704712,NA,0.77135963239507,0.999918319291581,NA,NA,NA,0.92519693118212,NA,0.673458295529408,0.888333016360467,0.71502793628154,2.08417959900704e-27,NA,NA,0.570678319530454,0.392853101827441,6.45432636385553e-05,0.999994515808782,NA,NA
"Micromonospora echinaurantiaca",0.128702492014963,0.915003859793799,1.78147177283517e-20,0.852102805609166,0.0106751150500531,0.00425532950569702,0.99912194136074,3.5540412121951e-20,0.976056530863706,0.998028694704712,NA,0.896366409035159,0.999918319291581,NA,NA,NA,0.222445830161812,NA,0.846600386779262,0.902837101017176,2.33818170184616e-20,2.16221293400887e-20,NA,NA,0.405639307031808,2.48828660522251e-20,0.0525937198570851,0.999994515808782,NA,NA
"Leucobacter sp. H25R-14",0.650691860346404,0.827757840121402,4.68706595452176e-13,0.848571633717705,0.0496804845482461,0.0048702964078674,5.39814311843721e-13,0.285688809789966,0.29104940303438,0.998274212518124,NA,0.893766202146548,7.0699396832344e-13,NA,NA,NA,0.974914217257311,NA,3.29509485095278e-13,0.988918110314484,5.97745993180443e-13,5.64032249111093e-13,NA,NA,0.64674261985198,5.82304589721515e-13,0.0388399976823362,0.999994515808782,NA,NA
"Halothiobacillus neapolitanus",0.824916912917045,3.93801958660214e-13,6.78181187383335e-13,0.671584085838062,0.0183370985849696,0.00953195716784742,7.78906450748792e-13,0.0579800994427715,3.64360619902714e-06,0.998607961087057,NA,0.914890343182036,1.01569401177643e-12,NA,NA,NA,0.689565173516369,NA,4.76432866913686e-13,0.987059161593811,8.61197871451708e-13,8.1385738123111e-13,NA,NA,2.56519145884678e-12,0.939216522314358,0.0808562541801269,0.999994515808782,NA,NA
"Sphingomonas sp. S8-45",0.91764899879248,6.69949057459757e-16,1.29358235532606e-15,0.943499835109859,0.000239487075636577,0.00901413923779414,1.49763017356673e-15,0.885840443413797,3.65122236315568e-15,0.998028694704712,NA,0.987519604755746,0.999918319291581,NA,NA,NA,0.0486432153483228,NA,0.478600225454306,0.860603831115485,0.666809251100644,0.999640773265629,NA,NA,0.634547430508831,1.65108085313869e-15,4.01189313530418e-15,0.999994515808782,NA,NA
"Streptomyces sp. HP-A2021",0.31433199085238,0.851439084977403,1.74958647948521e-15,0.754693256019656,0.049156806551964,0.0284533960520349,2.02476656700441e-15,0.925100716795835,0.181937963836607,0.998028694704712,NA,0.930445951497085,0.999918319291581,NA,NA,NA,0.867517308567387,NA,1.16776715191443e-15,0.688418413563384,2.22966624776905e-15,2.11524938998184e-15,NA,NA,0.886821309587298,2.23086405464473e-15,0.150092510962455,0.999994515808782,NA,NA
"Mycobacterium intracellulare",0.835721822125454,0.910656229562454,0.603375683328382,0.880418330419885,0.00725539780622936,0.0184567099943623,0.99912194136074,0.23694545830893,0.00646876521017986,0.998028694704712,NA,0.855284109240573,1.99681230857766e-21,NA,NA,NA,0.85280911825275,NA,6.891523667441e-22,0.962559600381759,0.704823267498794,0.404646727730484,NA,NA,0.747139340394532,0.608334948182696,0.00251626452157132,0.999994515808782,NA,NA
"Bifidobacterium catenulatum",0.414224170257055,0.886495972883364,0.118011731674225,0.524764722050667,9.00263770033645e-05,0.000141239186986717,0.99912194136074,0.905448497311482,0.738112107242236,0.998028694704712,NA,0.816436654839073,0.999918319291581,NA,NA,NA,0.192024244004726,NA,0.403056902833702,0.962559600381759,0.292758796410634,5.78889006665049e-06,NA,NA,0.63213452081152,0.925188065057366,0.215697529047785,0.999994515808782,NA,NA
"Aquirufa sp. 9H-EGSE",0.77445877390974,2.84860574881508e-13,0.796361535457124,0.58371805819724,0.0780267124695099,0.0652850185087027,5.65126624361701e-13,7.99108875851808e-13,0.966940133085553,0.998028694704712,NA,0.644739380231814,7.40574246275401e-13,NA,NA,NA,0.120379653703286,NA,3.45389418361939e-13,0.932065893669742,6.26483754920088e-13,5.90780880979936e-13,NA,NA,0.641634535408958,0.884316221998444,0.0485248503058373,0.999994515808782,NA,NA
"Gemmatimonas aurantiaca",0.369495107580996,0.851175308904068,1.21814491351975e-11,0.509460076845624,0.127639572141799,0.0016342568032593,1.39053692813592e-11,1.86159159757841e-11,2.81529288582327e-11,0.998028694704712,NA,0.976912488918277,0.999918319291581,NA,NA,NA,0.365257065591303,NA,8.72785817419588e-12,0.993091876077185,1.53801470598e-11,0.999640773265629,NA,NA,4.26269281631293e-11,0.999012256001586,3.33097193734398e-11,0.999994515808782,NA,NA
"Curvibacter sp. AEP1-3",0.411495388026347,1.99246431532977e-15,0.660256924247714,0.136647678996695,5.10572504362965e-05,0.00054398758056813,4.3753017331928e-15,0.907539818259174,0.233255343788305,0.998028694704712,NA,0.285878082913988,0.999918319291581,NA,NA,NA,0.0174586813620389,NA,2.53447614423145e-15,0.592939956095649,4.8064673427815e-15,0.999640773265629,NA,NA,0.870504020166927,4.78945358434094e-15,0.165209261059558,0.999994515808782,NA,NA
"Massilia sp. YMA4",0.998686025406431,1.54634799924803e-22,4.04568311433521e-22,0.784003579001513,6.02475702430804e-06,0.00245594050354656,4.586802511283e-22,0.314369630013613,0.302524991915087,0.998028694704712,NA,0.817231842157033,0.999918319291581,NA,NA,NA,0.0878335721159775,NA,0.932170966972651,0.257787046938665,5.38124597376635e-22,4.81451611113392e-22,NA,NA,0.940385272414008,5.80457514526495e-22,0.0189248690519699,0.999994515808782,NA,NA
"Colletotrichum higginsianum",0.987113132198185,0.647892934290642,0.457779877462039,0.569933036645374,5.4884160925503e-07,1.0277505115319e-05,0.99912194136074,3.13937567664439e-08,0.12380381892907,0.998028694704712,NA,0.976332543405627,9.36600974576321e-19,NA,NA,NA,0.067672800796061,NA,0.310341577963915,0.927109246078028,0.296850436855268,0.999640773265629,NA,NA,0.701913009798042,0.381236220501815,0.00224627660989381,0.999994515808782,NA,NA
"Methanothermococcus okinawensis",0.502846124736746,4.4480918079159e-28,0.369488633167919,0.714475182121712,4.14697053286499e-11,1.79338682939253e-08,0.99912194136074,0.192986170964614,0.99604382403518,0.998028694704712,NA,0.865461363819732,0.133627725076737,NA,NA,NA,0.000769008403476452,NA,0.765600826581852,0.97746973832613,0.511763348229747,0.999640773265629,NA,NA,0.809939411999641,2.39803965194677e-27,0.000475535286517446,0.999994515808782,NA,NA
"Gordonia bronchialis",0.216021487489349,8.25492784959964e-18,1.7105596386315e-17,0.722758292659364,0.000125609230889004,4.87695216961416e-06,0.99912194136074,0.874208009312906,0.960612289303135,0.998028694704712,NA,0.402103784818144,0.999918319291581,NA,NA,NA,0.216383669331138,NA,0.914218554689274,0.845477137611949,2.22865154419949e-17,0.999640773265629,NA,NA,0.558910872666312,0.836609090375559,0.0303467273555664,0.999994515808782,NA,NA
"Sphingomonas sp. MM-1",0.30723812677484,4.90094127884266e-15,9.07546714294924e-15,5.84428186653546e-14,7.7568312754478e-05,0.00817929636897455,0.99912194136074,1.54006577535593e-14,0.966940133085553,0.998028694704712,NA,0.877647130357947,0.999918319291581,NA,NA,NA,0.619334188606094,NA,6.16614774426238e-15,0.946429619762238,1.15901614134644e-14,0.999640773265629,NA,NA,0.717617378626301,1.14481718377408e-14,0.501879463004035,0.999994515808782,NA,NA
"Nanosynbacter sp. HMT-352",0.148789245761661,0.553599810716095,0.200488065527966,0.686760648371436,0.0112185968506716,0.00265413893414769,0.99912194136074,0.233102665024802,0.00229620537916728,0.998028694704712,NA,0.493909674981088,0.999918319291581,NA,NA,NA,0.890965628048374,NA,0.970971816118783,0.772648243773391,0.533400149033636,1.55836517724934e-37,NA,NA,0.298171833181369,0.577715100884842,0.522928690953905,0.999994515808782,NA,NA
"Bythopirellula goksoeyrii",0.931160342991001,5.66476313412475e-14,0.734467803356044,5.98859529064647e-13,0.0328425627160546,0.185772613266814,1.16450801878014e-13,1.66677900862864e-13,2.60137473460631e-13,0.999894551809144,NA,0.984563842765916,1.52203241051089e-13,NA,NA,NA,0.81316190774623,NA,6.95190334585811e-14,0.965920289509624,1.27141017620885e-13,1.21506789074398e-13,NA,NA,0.658014147684289,0.929741321379445,0.322555258871132,0.999994515808782,NA,NA
"Tessaracoccus defluvii",0.18941078226696,0.910656229562454,1.16672568842664e-23,0.715936074649378,0.000577860216997421,0.000124812106636232,1.25344418838246e-23,0.000135466274499316,5.63751922014675e-05,0.998028694704712,NA,0.623007752916118,0.999918319291581,NA,NA,NA,0.297536554047905,NA,0.794693456589198,0.957589109161139,0.349644770439352,1.3352479143611e-23,NA,NA,0.806845782992669,1.65069205628145e-23,5.32553427092444e-23,0.999994515808782,NA,NA
"Pseudonocardia sp. CGMCC 4.1532",0.36080787461182,0.867267587989816,0.348104042912617,0.892396426598195,0.0450249570717198,0.000106663117205036,1.00869051572668e-20,0.0152384993840792,0.430529335111685,0.998028694704712,NA,0.952848816798843,0.999918319291581,NA,NA,NA,0.775480855216683,NA,5.22937651167005e-21,0.923328545600067,0.468970214334518,0.419913805991426,NA,NA,0.736852712741193,0.691727616713727,0.151170014480181,0.999994515808782,NA,NA
"Brucella sp. BTU1",0.118153594225389,1.78794982458336e-14,0.67507443579328,1.98395774281845e-13,1.12204350098372e-05,4.56386278277203e-05,3.75014899647781e-14,5.40204575687953e-14,8.5648564177621e-14,0.998028694704712,NA,0.426139778964084,4.96745648177034e-14,NA,NA,NA,0.174726946722906,NA,2.21996355436894e-14,0.987590875291335,0.75172155880863,0.999640773265629,NA,NA,0.740500752435601,4.04143553047499e-14,0.272605209028155,0.999994515808782,NA,NA
"Ustilaginoidea virens",0.242820070998076,0.916338230335114,0.158282706212235,0.981872282053587,1.49258839838241e-07,6.89889962162011e-07,0.99912194136074,0.468171432484876,0.36485471375733,0.998028694704712,NA,0.542427137298412,0.999918319291581,NA,NA,NA,0.524346035858289,NA,0.335910608155337,0.962559600381759,0.823368696723364,0.999640773265629,NA,NA,0.527515738270892,0.87761591883909,0.241606315188366,0.999994515808782,NA,NA
