"","ciprofloxacin","amoxicillin-clavulanate","metronidazole","ceftriaxone","vancomycin","cefepime","azithromycin","trimethoprim-sulfamethoxazole","penicillin","levofloxcacin","dapsone","amoxicillin","cefdinir","piperacillin-tazobactam","ceftazidime","cefuroxime","cephalexin","doxycycline","meropenem","daptomycin","cefazolin","aztreonam"
"Enterococcus faecalis",0.0217705769685421,0.0633704498236952,0.221983049928879,0.0221755708796164,0.000111377518923805,0.000222824908423702,0.275595539246102,0.128982091767311,6.88965382538262e-06,0.614427242398215,0.867638825531855,0.220627017985456,NA,0.00545473452804585,0.825113581800973,0.124374641939386,0.0183337553328359,0.654181027859802,0.302913184698553,0.521470950967033,0.392105523475472,0.373722237544635
"Blautia liquoris",0.00711563280742011,0.0983549637079352,0.707085529848854,0.335668612137509,8.84876539512233e-12,3.52945737950277e-09,0.701380385351047,0.0252614383754362,0.0702587913644278,0.000657868702977341,0.145846054681327,2.05422088980829e-09,NA,0.00269932572830851,0.512265179269595,0.371142168804997,0.506779626184795,0.333735739538819,0.312045862352989,0.0310657049508881,0.421166406127356,0.334442548136538
"Fusobacterium nucleatum",0.92649033743022,0.0311025310322928,0.774075747738518,0.331538146397969,6.95472607891619e-05,0.000241079118666666,0.188017902328346,0.162405665297299,0.425180745326198,0.14780319807921,0.101172678048585,0.540303134111084,NA,0.0943710559558891,0.245779983500276,0.504687402708892,0.99302083222156,0.0604648434442202,0.218541168746997,0.184745098665078,0.754923223184111,0.569582815348134
"Clostridium sp. BJN0001",0.469574443684137,0.285272245051378,0.510184731711085,0.839400307555548,9.20432503641977e-08,0.000424875349263532,0.163715884814125,0.0900457850615122,0.661172751363036,0.000401027172280734,0.919786256414589,0.415630640314592,NA,0.29442088148964,0.972920224878203,0.26698828138393,0.254920459268344,0.249367703323754,0.867401911313044,0.160026267493567,0.443121250767643,0.337137799362622
"Campylobacter concisus",0.992346101317928,0.0956535262788079,0.256406408345192,0.807889878802721,0.00112722980297726,0.000877644681475126,0.750788954269206,0.917419033110939,0.989795780769105,0.63639257156104,0.472679989590228,0.671132840475701,NA,0.053419307163078,0.459038776712214,0.365109098040118,0.471425056585003,0.83924946326927,0.111652657962752,0.97803788683916,0.780305857373806,0.684961252897607
"Phocaeicola vulgatus",0.85083799395338,0.500325080260024,2.1101408612561e-09,0.0286436667572401,0.0949670379340112,0.411280700256968,0.533611271493386,0.0949667539215932,0.32856756379355,0.041840972376567,0.539673560481494,0.579967480794932,NA,0.00111351723275494,0.26012540827583,1.23650124980988e-06,0.794212183218782,0.567898747489523,0.0153276618341735,0.0132802514287021,0.00373347302768777,0.0464557764319576
"Anaerostipes caccae",0.0355041270689178,0.433144756142927,0.964137586476801,0.893642125383528,2.73106543663535e-07,1.23034871371697e-06,0.961685545065972,0.000326714159102934,0.365629322079727,0.000693533437059709,0.188003583286112,0.000264883808285772,NA,0.000670276345219534,0.947071983250697,0.447544731182422,0.663443745819617,0.801772831981933,0.154411026627588,0.0143807298396384,0.367148516618579,0.999269464409515
"Prevotella melaninogenica",0.224755485483822,0.272481553794261,0.0176640379378781,0.13457189455504,0.12369482100426,0.308048405499835,0.608070593633736,0.864640570712586,0.179534756885303,0.146489810670676,0.0882552273283002,0.581949630346624,NA,0.110094635699627,0.339971013382145,0.0296299638007533,0.230354591970844,0.0566253225877491,0.00590121873533063,0.0438095893362023,0.434274442135968,4.41938357034272e-08
"Geosporobacter ferrireducens",0.955123484174569,0.172535912204568,0.751565907062394,0.426702676948449,2.12389188798487e-06,7.21267864505524e-07,0.38497512391838,0.120714338905047,0.175421902446365,0.00154289966978303,0.133753284517591,0.342483761602595,NA,0.118529409840836,0.457668362005899,0.145004203010069,0.297554575588394,0.445564010003989,0.164969669293481,0.0231235418565091,0.248160398163666,0.145077091259848
"Streptococcus mitis",0.617574536906085,0.403133967959324,0.44203159562286,0.592074091066926,0.195841822843163,0.257916412352994,0.772705599794354,0.0025248922526902,0.057510435530518,0.301151131549993,0.640421180326802,0.538879838254601,NA,0.0446104778460612,0.0182895735565847,0.388986388110277,0.0894733301596808,0.722792244682972,0.403466857652668,0.754510790678076,0.130213803799452,0.395918572945997
"Eubacterium maltosivorans",0.0148793443728338,0.414218519015794,0.396883867124834,0.535622316017795,1.01863437054791e-12,7.40895871990986e-08,0.499810582581203,4.1698410450418e-06,0.345245212620145,0.0041067622881032,0.553593386314252,0.429610663721349,NA,2.64691332975139e-05,0.655825322533471,0.155544166256565,0.538158167890605,0.698611620461033,0.129689143371848,0.065493215230141,0.11145678874486,0.121189143499135
"Bacteroides thetaiotaomicron",0.701461255797052,0.249987671390095,1.71782669310923e-08,6.75293251856694e-08,0.172719968541154,0.683853122011172,0.00103627131241026,0.000282516601372754,0.507186364499664,0.196254273204207,0.612835406817071,0.582217143642293,NA,0.000723798510125838,0.00210039563678605,2.34778843261203e-06,0.414230149685497,0.65842373786128,0.0699152014039213,0.235109801361547,0.0446653768249158,0.0676847852701761
"Fusobacterium ulcerans",0.27241202405664,0.104335013646497,0.755990441862123,0.419277558633555,1.96819738747439e-05,4.79149223198315e-07,0.639770377228385,0.258294362982151,0.44649795411009,0.0834453357339492,0.357685874381648,0.189630615785905,NA,0.513966241776407,0.880187250329491,0.329530156451642,0.174405383886431,0.213400714414742,0.0672818980806049,0.141686097012397,0.871824791656919,0.59472531208135
"Anaerostipes hadrus",0.0003459553680423,0.147637490111947,0.992913093179366,0.00868877847299863,9.18297844869745e-12,2.31444796682523e-07,0.336315117191995,0.0581907978313746,0.480940276756841,1.59412789298829e-05,0.629679561502308,0.172649354150566,NA,3.35051732885475e-05,0.16083882115826,0.174651742386099,0.079084525999476,0.838744724039725,0.12430018566885,0.00987580395943038,0.340541356248689,0.502175890263159
