"","vsearchPostWilcox_p","vsearchPostWilcox_adj_p"
"tetM",0.12803719597691,0.911502895168957
"mtrC",0.952973417658855,1
"arnA",0.745936427106314,1
"MexI",0.514546213602175,0.984485549585434
"Paer_emrE",0.393829921360893,0.954191429950606
"ParS",0.657173791668836,1
"ArmR",0.30325689285683,0.954191429950606
"patB",0.425566086956276,0.965532527784463
"vanV_in_vanB_cl",0.30325689285683,0.954191429950606
"APH(6)-Id",0.215886130588733,0.921045295073559
"dfrF",0.444484100729662,0.974428292711176
"rsmA",0.585530947655149,1
"CfxA2",0.0659803996988294,0.911502895168957
"aadA5",0.168502638776856,0.921045295073559
"vanT_in_vanC_cl",0.907632648208703,1
"vanS_in_vanC_cl",0.388283260213035,0.954191429950606
"mel",0.0530684725113826,0.911502895168957
"ErmB",0.876819981021292,1
"Mef(En2)",0.114385090111292,0.911502895168957
"APH(3'')-Ib",0.0450069151955398,0.911502895168957
"msrC",0.606846810047476,1
"Erm(35)",0.0737045168708198,0.911502895168957
"CfxA3",0.265020786175202,0.946603424228258
"tet(A)",0.514546213602175,0.984485549585434
"tet37",0.282897456226581,0.954191429950606
"tetW",0.0655089073932284,0.911502895168957
"Kpne_acrA",0.495627189460386,0.984485549585434
"OCH-1",0.243117692961298,0.946603424228258
"qacJ",0.165591582462095,0.921045295073559
"OKP-B-12",0.67370245840954,1
"SHV-12",0.186559478237459,0.921045295073559
"ykkC",0.49227816892897,0.984485549585434
"ykkD",0.369825767663691,0.954191429950606
"tet(40)",0.615969092762275,1
"rmtB",0.334065211400839,0.954191429950606
"rpoB2",0.626153322033698,1
"Kpne_KpnE",0.418719924787944,0.965160749973417
"Kpne_KpnF",0.0160651889208663,0.911502895168957
"marA",0.873384950903873,1
"baeS",0.841380603433349,1
"baeR",0.839701698783951,1
"acrD",0.911635745606173,1
"emrA",0.840970725372399,1
"gadX",0.556722901629096,1
"mdtE",0.893214250449688,1
"CRP",0.75411171887567,1
"mdtP",0.786196020902604,1
"mdtO",0.807490937098221,1
"mdtN",0.83765656887897,1
"sul2",0.20556680779676,0.921045295073559
"vanR_in_vanD_cl",0.608107157100881,1
"lsaA",0.870963199161637,1
"APH(2'')-If",0.978459592939453,1
"aad(6)",0.210568631242505,0.921045295073559
"lnuC",0.176622249561242,0.921045295073559
"dfrB5",0.108512093380133,0.911502895168957
"evgA",0.870963199161637,1
"cpxA",0.705938169757074,1
"mecI",0.471097052206498,0.974428292711176
"Cper_mprF",0.813905361131607,1
"mdtG",0.5742010806044,1
"abeS",0.647057192437134,1
"Bbif_ileS_MUP",0.149110077781611,0.921045295073559
"APH(3')-IIIa",0.088190947065639,0.911502895168957
"gadW",0.698742830836694,1
"mphA",0.304888415518964,0.954191429950606
"emrY",0.945934184443608,1
"emrK",0.480350567009589,0.974428292711176
"qacL",1,1
"vanU_in_vanG_cl",0.739189681744903,1
"dfrA17",0.431509502301974,0.968883641113834
"dfrB2",0.498539741118452,0.984485549585434
"vanL",0.901438218603043,1
"dfrB4",0.946977315814909,1
"oqxB",0.118828906641958,0.911502895168957
"tet32",0.0883941680595985,0.911502895168957
"TolC",0.575939477267827,1
"ANT(6)-Ib",0.892611175010886,1
"ArnT",0.0863061106103166,0.911502895168957
"dfrB3",0.878821626395208,1
"CfxA6",0.0386725234161761,0.911502895168957
"CblA-1",0.0341756673214675,0.911502895168957
"dfrB6",0.263456742806542,0.946603424228258
"dfrB7",0.324531853988178,0.954191429950606
"QnrB54",0.482325710104529,0.974428292711176
"efrB",0.629723160444319,1
"lsaC",0.579727932268764,1
"RbpA",0.810617440460414,1
"tetB(46)",0.387642725273696,0.954191429950606
"tetA(46)",0.194718372450559,0.921045295073559
"qacE",0.964676272820692,1
"OXA-209",0.8789918662326,1
"TEM-192",0.568890865635445,1
"sul1",0.0668481257398643,0.911502895168957
"Ecol_mdfA",0.840970725372399,1
"facT",0.302057218838418,0.954191429950606
"BRP(MBL)",0.615969092762275,1
"vanO",0.224870590436019,0.921045295073559
"Rm3",0.395718184996238,0.954191429950606
"rphA",0.519679461342101,0.984485549585434
"PDC-56",0.331737166025716,0.954191429950606
"AAC(6')-Ib7",0.353724974156146,0.954191429950606
"tet(W/N/W)",0.0972695067542381,0.911502895168957
"tetA(60)",0.74745550805336,1
"BahA",0.85009184626893,1
"TaeA",0.0444061256788129,0.911502895168957
"tetS",0.952973417658855,1
