"","PreWilcox_p","PreTtest_adj_p"
"Flavobacterium",0.602679209335556,0.944615559321442
"Capnocytophaga",0.0464515360800191,0.944615559321442
"Myroides",1,1
"Polaribacter",0.823755656108597,0.944615559321442
"Formosa",0.710300071445582,0.944615559321442
"Blattabacterium",0.655632293403191,0.944615559321442
"Sphingobacterium",0.331162181471779,0.944615559321442
"Mucilaginibacter",0.201369373660395,0.944615559321442
"Pedobacter",0.175410812098119,0.944615559321442
"Hymenobacter",0.130804953560372,0.944615559321442
"Arachidicoccus",0.0804000952607764,0.944615559321442
"Borrelia",0.229864253393665,0.944615559321442
"Treponema",0.881983805668016,0.977422351803734
"Brachyspira",0.370219099785663,0.944615559321442
"Leptospira",0.411895689449869,0.944615559321442
"Akkermansia",0.766432483924744,0.944615559321442
"Fusobacterium",0.940843057870922,1
"Leptotrichia",0.655632293403191,0.944615559321442
"Saccharomyces",0.551631340795428,0.944615559321442
"Candida",0.151940938318647,0.944615559321442
"Fusarium",0.881983805668016,0.977422351803734
"Pyricularia",0.130804953560372,0.944615559321442
"Aspergillus",0.602679209335556,0.944615559321442
"Plasmodium",0.766432483924744,0.944615559321442
"Toxoplasma",0.766432483924744,0.944615559321442
"Dictyostelium",0.602679209335556,0.944615559321442
"Methanosarcina",0.823755656108597,0.944615559321442
"Methanobrevibacter",0.370219099785663,0.944615559321442
"Herbinix",0.602679209335556,0.944615559321442
"Solibaculum",0.130804953560372,0.944615559321442
"Pusillibacter",0.229864253393665,0.944615559321442
"Caproicibacterium",0.766432483924744,0.944615559321442
"Ruminiclostridium",0.823755656108597,0.944615559321442
"Acutalibacter",0.130804953560372,0.944615559321442
"Vescimonas",0.551631340795428,0.944615559321442
"Oscillibacter",0.331162181471779,0.944615559321442
"Emergencia",0.294724934508216,0.944615559321442
"Acetobacterium",0.370219099785663,0.944615559321442
"Alkalibacter",0.0250535841867111,0.944615559321442
"Peptacetobacter",0.823755656108597,0.944615559321442
"Christensenella",0.602679209335556,0.944615559321442
"Desulfosporosinus",0.602679209335556,0.944615559321442
"Desulforamulus",0.602679209335556,0.944615559321442
"Caldicellulosiruptor",0.710300071445582,0.944615559321442
"Thermoanaerobacter",0.456096689688021,0.944615559321442
"Faecalibacillus",0.602679209335556,0.944615559321442
"Tannockella",0.766432483924744,0.944615559321442
"Dialister",0.823755656108597,0.944615559321442
"Selenomonas",1,1
"Megamonas",1,1
"Pelosinus",0.502726839723744,0.944615559321442
"Tissierella",0.095177423195999,0.944615559321442
"Brevibacterium",0.411895689449869,0.944615559321442
"Nocardia",0.201369373660395,0.944615559321442
"Micromonospora",0.130804953560372,0.944615559321442
"Actinoplanes",0.331162181471779,0.944615559321442
"Raoultella",0.331162181471779,0.944615559321442
"Morganella",0.502726839723744,0.944615559321442
"Dickeya",0.766432483924744,0.944615559321442
"Marinobacter",0.602679209335556,0.944615559321442
"Alteromonas",0.229864253393665,0.944615559321442
"Photobacterium",0.551631340795428,0.944615559321442
"Xanthomonas",0.201369373660395,0.944615559321442
"Stenotrophomonas",0.370219099785663,0.944615559321442
"Lysobacter",0.766432483924744,0.944615559321442
"Halomonas",0.655632293403191,0.944615559321442
"Pasteurella",0.655632293403191,0.944615559321442
"Aeromonas",0.602679209335556,0.944615559321442
"Rhizobium",0.710300071445582,0.944615559321442
"Agrobacterium",0.201369373660395,0.944615559321442
"Methylobacterium",0.151940938318647,0.944615559321442
"Paracoccus",0.411895689449869,0.944615559321442
